ID,Pop
AMNH_380148,Western
AMNH_380149,Western
AMNH_506298,Migratory
AMNH_759212,Eastern
AMNH_759213,Eastern
AMNH_759214,Eastern
AMNH_759219,Eastern
ANSP 343-41451,Migratory
CUMV_16055,Migratory
CUMV_16057,Western
CUMV_16058,Western
CUMV_16059,Western
CUMV_16060,Western
CUMV_16061,Migratory
FMNH_10530,Migratory
FMNH_148366,Western
FMNH_17852,Migratory
FMNH_17855,Migratory
FMNH_17857,Migratory
FMNH_17858,Migratory
FMNH_17861,Migratory
FMNH_17865,Migratory
FMNH_17867,Migratory
FMNH_20407,Migratory
FMNH_6144,Migratory
FMNH_6146,Migratory
MCZ_242103,Eastern
MCZ_306637,Eastern
MCZ_308647,Eastern
MCZ_319248,Eastern
UMMZ_55125,Migratory
UMMZ_71834,Migratory
